article_name,price,odo,year,location,date,link
Nissan Sentra 1.8 B17 Fl Exclusive,60.900.000,69.000 Km,2018,Chapinero - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-872314489-nissan-sentra-_JM#position=33&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Kia . Vibro,88.000.000,4.000 Km,2022,Pereira - Risaralda,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-883299296-kia-cerato-cerato-vivro-_JM#position=1&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Cerato Vibró Vibrant,80.900.000,11.600 Km,2022,Usaquén - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-875862436-kia-cerato-vibro-vibrant-_JM#position=2&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Cerato Vibro,76.000.000,11.200 Km,2021,Envigado - Antioquia,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-873134147-kia-cerato-vibro-2021-automatico-jmn784-mp-_JM#position=3&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Cerato 1.6 Vivro Vibrant,66.500.000,30.000 Km,2019,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-891804085-kia-cerato-vibro-2019-mecanico-_JM#position=4&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sportage Gt Line 2021 At,152.990.000,0 Km,2021,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-551032272-kia-sportage-gt-line-2022-at-0-km-_JM#position=5&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sportage Kia Sportage Gt Line 2021 At 0km,152.990.000,0 Km,2021,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-551032481-kia-sportage-gt-line-2022-at-0-km-_JM#position=6&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sportage Kia Sportage Gt Line 2022 At 0km,152.990.000,0 Km,2022,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-551032544-kia-sportage-gt-line-2022-0-km-_JM#position=7&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sportage Hibrida,134.000.000,15.500 Km,2020,Medellín - Antioquia,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-884734227-kia-sportage-hibrida-4x4-2020-_JM#position=8&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sportage Vibrant Plus,131.490.000,0 Km,2022,Suba - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-810544655-kia-sportage-automatica-techo-panoramico-_JM#position=9&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sportage Vibrant Hibrid,129.000.000,14.500 Km,2021,Ciudad Bolívar - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-880633814-kia-sportage-hibrida-_JM#position=10&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sportage 2.0 Gti Line 4x2,126.500.000,24.000 Km,2020,Engativa - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-871323634-kia-sportage-gti-line-_JM#position=11&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Seltos Zenith Kia Seltos Zenith 1.6 L At. 2022,116.990.000,0 Km,2022,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-817341329-kia-seltos-zenith-at-16l-2022-_JM#position=12&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Seltos Kia Seltos Zenith 1.6 L At. 2022,116.490.000,0 Km,2022,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-817328628-kia-seltos-zenith-16-l-at-2022-0-km-_JM#position=13&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
